sbom_code,name,URL,path,dependencies,licenses,critical,high,medium,low,quality,format,version,successfully_processed,sbomqs_processed,osv_processed,cyclonedx_processed,sbom_utility_processed,pyspdxtools_processed,ntia_processed,cyclonedx_res,sbom_utility_res,pyspdxtools_res,ntia_res,language
dragonflyoss_Dragonfly_release_6v1ppt8a_dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-scheduler_v2_2_2-rc_0.spdx.json,Dragonfly,https://github.com/dragonflyoss/dragonfly/releases/download/v2.2.2-rc.0/dragonflyoss-scheduler_v2_2_2-rc_0.spdx.json,dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-scheduler_v2_2_2-rc_0.spdx.json,182,33,2,1,7,0,7.47,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
dragonflyoss_Dragonfly_release_no79jfoz_dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-dfdaemon_v2_2_2-rc_0.spdx.json,Dragonfly,https://github.com/dragonflyoss/dragonfly/releases/download/v2.2.2-rc.0/dragonflyoss-dfdaemon_v2_2_2-rc_0.spdx.json,dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-dfdaemon_v2_2_2-rc_0.spdx.json,198,19,2,1,7,0,7.42,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
dragonflyoss_Dragonfly_release_6j7stttp_dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-manager_v2_2_2-rc_0.spdx.json,Dragonfly,https://github.com/dragonflyoss/dragonfly/releases/download/v2.2.2-rc.0/dragonflyoss-manager_v2_2_2-rc_0.spdx.json,dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-manager_v2_2_2-rc_0.spdx.json,255,33,2,1,7,0,7.45,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
dragonflyoss_Dragonfly_release_4r4zq7ra_dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-dragonfly-dfdaemon_v2_2_2-rc_0.spdx.json,Dragonfly,https://github.com/dragonflyoss/dragonfly/releases/download/v2.2.2-rc.0/dragonflyoss-dragonfly-dfdaemon_v2_2_2-rc_0.spdx.json,dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-dragonfly-dfdaemon_v2_2_2-rc_0.spdx.json,198,19,2,1,7,0,7.42,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
dragonflyoss_Dragonfly_release_7usx567l_dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-dragonfly-scheduler_v2_2_2-rc_0.spdx.json,Dragonfly,https://github.com/dragonflyoss/dragonfly/releases/download/v2.2.2-rc.0/dragonflyoss-dragonfly-scheduler_v2_2_2-rc_0.spdx.json,dragonflyoss_Dragonfly_release_v2.2.2-rc.0.dragonflyoss-dragonfly-scheduler_v2_2_2-rc_0.spdx.json,182,33,2,1,7,0,7.47,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
dragonwell-project_dragonwell8_release_nm21zjuq_dragonwell-project_dragonwell8_release_dragonwell-extended-8.24.23_jdk8u442-ga.Alibaba_Dragonwell_Extended_8.24.23_aarch64_linux-sbom.json,dragonwell8,https://github.com/dragonwell-project/dragonwell8/releases/download/dragonwell-extended-8.24.23_jdk8u442-ga/Alibaba_Dragonwell_Extended_8.24.23_aarch64_linux-sbom.json,dragonwell-project_dragonwell8_release_dragonwell-extended-8.24.23_jdk8u442-ga.Alibaba_Dragonwell_Extended_8.24.23_aarch64_linux-sbom.json,1,0,0,0,0,0,5.22,cyclonedx_json,1.4,True,True,False,True,True,False,False,True,True,False,False,Java
dragonwell-project_dragonwell8_release_tgl2m11d_dragonwell-project_dragonwell8_release_dragonwell-extended-8.24.23_jdk8u442-ga.Alibaba_Dragonwell_Extended_8.24.23_x64_windows-sbom.json,dragonwell8,https://github.com/dragonwell-project/dragonwell8/releases/download/dragonwell-extended-8.24.23_jdk8u442-ga/Alibaba_Dragonwell_Extended_8.24.23_x64_windows-sbom.json,dragonwell-project_dragonwell8_release_dragonwell-extended-8.24.23_jdk8u442-ga.Alibaba_Dragonwell_Extended_8.24.23_x64_windows-sbom.json,1,0,0,0,0,0,5.22,cyclonedx_json,1.4,True,True,False,True,True,False,False,True,True,False,False,Java
dragonwell-project_dragonwell8_release_3o05k0pr_dragonwell-project_dragonwell8_release_dragonwell-extended-8.24.23_jdk8u442-ga.Alibaba_Dragonwell_Extended_8.24.23_x64_linux-sbom.json,dragonwell8,https://github.com/dragonwell-project/dragonwell8/releases/download/dragonwell-extended-8.24.23_jdk8u442-ga/Alibaba_Dragonwell_Extended_8.24.23_x64_linux-sbom.json,dragonwell-project_dragonwell8_release_dragonwell-extended-8.24.23_jdk8u442-ga.Alibaba_Dragonwell_Extended_8.24.23_x64_linux-sbom.json,1,0,0,0,0,0,5.22,cyclonedx_json,1.4,True,True,False,True,True,False,False,True,True,False,False,Java
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_rr85gm8e_docker.io_vectorim_ess-core-operator:2.21.1.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_vectorim_ess-core-operator:2.21.1.json,sboms/docker.io_vectorim_ess-core-operator:2.21.1.json,359,216,0,0,0,0,7.59,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_6x9xzt0o_docker.io_vectorim_element-web:v1.11.82.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_vectorim_element-web:v1.11.82.json,sboms/docker.io_vectorim_element-web:v1.11.82.json,19,18,0,0,0,0,8.04,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_duv3vbbd_docker.io_vectorim_ess-core-operator-conversion-webhook:2.21.1.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_vectorim_ess-core-operator-conversion-webhook:2.21.1.json,sboms/docker.io_vectorim_ess-core-operator-conversion-webhook:2.21.1.json,48,4,0,0,0,0,7.29,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_4h7nmblt_quay.io_brancz_kube-rbac-proxy:v0.18.0.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/quay.io_brancz_kube-rbac-proxy:v0.18.0.json,sboms/quay.io_brancz_kube-rbac-proxy:v0.18.0.json,101,4,0,0,0,0,7.33,cyclonedx_json,1.6,True,True,False,True,True,False,False,False,False,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_mb02krca_docker.io_vectorim_ess-core-updater-conversion-webhook:2.21.1.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_vectorim_ess-core-updater-conversion-webhook:2.21.1.json,sboms/docker.io_vectorim_ess-core-updater-conversion-webhook:2.21.1.json,48,4,0,0,0,0,7.29,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_hnam6rk3_docker.io_library_redis:7.4-alpine.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_library_redis:7.4-alpine.json,sboms/docker.io_library_redis:7.4-alpine.json,22,14,0,0,0,0,7.9,cyclonedx_json,1.6,True,True,False,True,True,False,False,False,False,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_1t27o2vo_docker.io_library_nginx:1.26-alpine-slim.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_library_nginx:1.26-alpine-slim.json,sboms/docker.io_library_nginx:1.26-alpine-slim.json,19,18,0,0,0,0,8.04,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_e6f4sxea_docker.io_library_haproxy:3.0-alpine.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_library_haproxy:3.0-alpine.json,sboms/docker.io_library_haproxy:3.0-alpine.json,20,14,0,0,0,0,8.01,cyclonedx_json,1.6,True,True,False,True,True,False,False,False,False,False,False,other
