id,project_name,url,dependency_count,licenses_count,critical_cves_count,high_cves_count,medium_cves_count,low_cves_count,sbomqs_rating,format,format_version,origin,tool,creation_time
38,mariadb:latest,https://hub.docker.com/_/mariadb,641,0,0,0,0,0,6.34,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T04:44:12Z
39,mariadb,https://hub.docker.com/_/mariadb,218,75,0,0,0,0,7.46,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T04:43:40Z
40,telegraf,https://hub.docker.com/_/telegraf,568,145,0,0,0,0,8.28,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T04:44:24Z
41,telegraf:latest,https://hub.docker.com/_/telegraf,151,158,0,0,0,0,8.41,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T04:44:25Z
42,telegraf:latest,https://hub.docker.com/_/telegraf,466,0,0,0,0,0,6.35,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T04:44:48Z
43,telegraf,https://hub.docker.com/_/telegraf,627,81,0,0,0,0,7.19,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T04:44:20Z
44,tomcat,https://hub.docker.com/_/tomcat,176,119,0,0,0,0,8.6,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:00:24Z
45,tomcat:latest,https://hub.docker.com/_/tomcat,175,113,0,0,0,0,8.24,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:00:24Z
46,tomcat:latest,https://hub.docker.com/_/tomcat,424,0,0,0,0,0,6.34,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T05:00:54Z
47,tomcat,https://hub.docker.com/_/tomcat,226,68,0,0,0,0,7.48,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:00:19Z
48,debian,https://hub.docker.com/_/debian,90,99,0,0,0,0,8.63,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:01:01Z
49,debian:latest,https://hub.docker.com/_/debian,90,104,0,0,0,0,8.83,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:01:01Z
