sbom_code,name,URL,path,dependencies,licenses,critical,high,medium,low,quality,format,version,successfully_processed,sbomqs_processed,osv_processed,cyclonedx_processed,sbom_utility_processed,pyspdxtools_processed,ntia_processed,cyclonedx_res,sbom_utility_res,pyspdxtools_res,ntia_res,language
Azure_azure-functions-host_release_z0flcgth_manifest.spdx.json,azure-functions-host,https://github.com/Azure/azure-functions-host/releases/download/v4.1036.3/Functions.4.1036.3.zip,4.1036.3\workers\dotnet-isolated\bin\prelaunchapps\_manifest\spdx_2.2\manifest.spdx.json,3,0,0,0,0,0,6.38,spdx_json,SPDX-2.2,True,False,True,False,True,True,True,False,True,,True,C#
Azure_azure-functions-host_release_93481uvs_manifest.spdx.json,azure-functions-host,https://github.com/Azure/azure-functions-host/releases/download/v4.1036.3/Functions.4.1036.3.zip,4.1036.3\workers\powershell\7\_manifest\spdx_2.2\manifest.spdx.json,2,0,0,0,0,0,0,spdx_json,SPDX-2.2,True,False,False,False,True,True,False,False,True,,False,C#
Azure_azure-functions-host_release_o4zychum_manifest.spdx.json,azure-functions-host,https://github.com/Azure/azure-functions-host/releases/download/v4.1036.3/Functions.4.1036.3.zip,4.1036.3\workers\node\_manifest\spdx_2.2\manifest.spdx.json,74,0,0,1,2,0,6.45,spdx_json,SPDX-2.2,True,False,True,False,True,True,True,False,True,,False,C#
Azure_cyclecloud-slurm_release_g9k8cwr5_manifest.spdx.json,cyclecloud-slurm,https://github.com/Azure/cyclecloud-slurm/releases/download/2024-05-14-bins/slurm-pkgs-ubuntu22.zip,slurm-pkgs-ubuntu22/_manifest/spdx_2.2/manifest.spdx.json,31,0,0,0,2,1,6.1,spdx_json,SPDX-2.2,True,False,True,False,True,True,True,False,True,,False,other
Azure_azure-functions-core-tools_release_0eit66k1_manifest.spdx.json,azure-functions-core-tools,https://github.com/Azure/azure-functions-core-tools/releases/download/4.0.5801/Azure.Functions.Cli.osx-x64.4.0.5801.zip,_manifest/spdx_2.2/manifest.spdx.json,7,0,0,0,0,0,0,spdx_json,SPDX-2.2,True,False,False,False,True,True,False,False,True,,False,C#
Azure_azure-functions-core-tools_release_o29km3uk_manifest.spdx.json,azure-functions-core-tools,https://github.com/Azure/azure-functions-core-tools/releases/download/4.0.5801/Azure.Functions.Cli.osx-x64.4.0.5801.zip,workers/node/_manifest/spdx_2.2/manifest.spdx.json,74,0,0,1,2,0,6.45,spdx_json,SPDX-2.2,True,False,True,False,True,True,True,False,True,,False,C#
Azure_azure-functions-core-tools_release_iopr1pev_manifest.spdx.json,azure-functions-core-tools,https://github.com/Azure/azure-functions-core-tools/releases/download/4.0.5801/Azure.Functions.Cli.osx-x64.4.0.5801.zip,workers/powershell/7/_manifest/spdx_2.2/manifest.spdx.json,2,0,0,0,0,0,0,spdx_json,SPDX-2.2,True,False,False,False,True,True,False,False,True,,False,C#
Azure_azure-iot-ops-cli-extension_release_gkbf0hi8_manifest.spdx.json,azure-iot-ops-cli-extension,https://github.com/Azure/azure-iot-ops-cli-extension/releases/download/v0.5.0b2/SBOM.zip,release/SBOM/spdx_2.2/manifest.spdx.json,37,0,0,0,3,1,6.1,spdx_json,SPDX-2.2,True,False,True,False,True,True,True,False,True,,False,other
Azure_missionlz-edge_1a77f73c922a5736cc2f9f35194ccff30a0a75be_u9vnznuj_manifest.spdx.json,missionlz-edge,https://raw.githubusercontent.com/Azure/missionlz-edge/1a77f73c922a5736cc2f9f35194ccff30a0a75be/_manifest/spdx_2.2/manifest.spdx.json,_manifest/spdx_2.2/manifest.spdx.json,2,0,0,0,0,0,0,spdx_json,SPDX-2.2,True,False,False,False,True,True,False,False,True,,False,other
BonexGoo_Boss2D_95fc0e96827f1c5ec01baedbb4997c42946fc490_cr0tno7f_sbom.spdx.json,Boss2D,https://raw.githubusercontent.com/BonexGoo/Boss2D/95fc0e96827f1c5ec01baedbb4997c42946fc490/Boss2D/addon/cpython-3.12.2_for_boss/Misc/sbom.spdx.json,Boss2D/addon/cpython-3.12.2_for_boss/Misc/sbom.spdx.json,30,0,0,1,4,1,0,spdx_json,SPDX-2.3,True,False,True,False,True,True,False,False,False,,False,other
Checkmarx_kics_a5b4dac5085dfbf78126b553bf599d1e5e3fc216_df5ptunq_kics.spdx.json,kics,https://raw.githubusercontent.com/Checkmarx/kics/a5b4dac5085dfbf78126b553bf599d1e5e3fc216/kics.spdx.json,kics.spdx.json,245,246,2,1,3,0,7.1,spdx_json,SPDX-2.3,True,False,True,False,True,True,True,False,False,,False,other
DataDog_datadog-ci_49c4e71bb67fcac0b739ca741b06df5549cafde1_j8q7f9mv_sbom.json,datadog-ci,https://raw.githubusercontent.com/DataDog/datadog-ci/49c4e71bb67fcac0b739ca741b06df5549cafde1/.github/workflows/e2e/sbom-reports/sbom.json,.github/workflows/e2e/sbom-reports/sbom.json,62,62,0,0,2,0,7.81,cyclonedx_json,1.4,True,True,True,True,True,False,False,True,True,False,False,TypeScript
DependencyTrack_dependency-track_release_f1jnmrb6_DependencyTrack_dependency-track_release_4.12.0.bom.json,dependency-track,https://github.com/DependencyTrack/dependency-track/releases/download/4.12.0/bom.json,DependencyTrack_dependency-track_release_4.12.0.bom.json,191,288,0,0,0,0,8.19,cyclonedx_json,1.5,True,True,True,True,True,False,False,False,False,False,False,Java
DependencyTrack_frontend_release_mttas4aa_bom.xml,frontend,https://github.com/DependencyTrack/frontend/releases/download/4.11.1/bom.xml,bom.xml,46,43,0,3,1,0,8.21,cyclnedx_xml,1.3,True,False,True,True,False,False,False,True,False,False,False,other
